,Time,Daegu_Temp,Daegu_Precipitation,Daegu_Humidity ,Daegu_Insolation ,Daegu_Cloud,Daejeon_Temp,Daejeon_Precipitation,Daejeon_Humidity ,Daejeon_Insolation ,Daejeon_Cloud,Busan_Temp,Busan_Precipitation,Busan_Humidity ,Busan_Insolation ,Busan_Cloud,Seoul_Temp,Seoul_Precipitation,Seoul_Humidity ,Seoul_Insolation ,Seoul_Cloud,Incheon_Temp,Incheon_Precipitation,Incheon_Humidity ,Incheon_Insolation ,Incheon_Cloud,Gwangju_Temp,Gwangju_Precipitation,Gwangju_Humidity ,Gwangju_Insolation ,Gwangju_Cloud,Generation
0,2018-01-01 00:00:00,0.8,0.0,37.0,0.0,0,-2.5,0.0,70.0,0.01,0,1.2,0.0,35.0,0.02,0,-3.2,0.0,40.0,0.01,0,-1.4,0.1,49.0,0.01,0,2.2,0.1,55.0,0.06,7,62446
1,2018-01-01 01:00:00,0.1,0.0,43.0,0.0,0,-2.5,0.0,67.0,0.0,0,0.65,0.0,33.0,0.02,0,-3.3,0.0,41.0,0.0,0,-1.6,0.1,47.0,0.0,0,1.8,0.1,56.5,0.06,6,59691
2,2018-01-01 02:00:00,0.0,0.0,46.0,0.01,0,-2.9,0.0,63.0,0.0,0,0.1,0.0,34.0,0.02,0,-3.7,0.0,42.0,0.0,0,-1.9,0.1,47.0,0.0,0,1.9,0.1,58.0,0.06,4,57231
3,2018-01-01 03:00:00,-0.1,0.0,47.0,0.01,0,-3.0,0.0,64.0,0.0,0,0.0,0.0,37.0,0.02,0,-4.0,0.0,44.0,0.0,0,-1.8,0.1,44.0,0.0,0,1.2,0.1,61.0,0.06,3,55500
4,2018-01-01 04:00:00,-0.4,0.0,47.0,0.01,0,-3.4,0.0,73.0,0.0,0,-0.1,0.0,42.0,0.02,0,-4.2,0.0,53.0,0.0,0,-2.0,0.1,48.0,0.0,0,-0.1,0.1,63.0,0.06,3,54821
5,2018-01-01 05:00:00,-0.7,0.0,44.0,0.01,0,-4.0,0.0,78.0,0.0,0,-0.1,0.0,43.0,0.03,0,-4.4,0.0,54.0,0.0,0,-2.4,0.1,51.0,0.0,0,-0.5,0.1,63.0,0.05,0,55000
6,2018-01-01 06:00:00,-0.7,0.0,37.0,0.01,0,-4.9,0.0,77.0,0.0,0,-0.5,0.0,45.0,0.03,0,-4.5,0.0,51.0,0.0,0,-2.6,0.1,57.0,0.0,0,-0.7,0.1,62.0,0.05,0,55641
7,2018-01-01 07:00:00,-1.0,0.0,38.0,0.01,0,-4.9,0.0,82.0,0.0,0,-0.8,0.0,45.0,0.03,0,-4.7,0.0,56.0,0.0,0,-2.5,0.1,60.0,0.0,0,-0.3,0.1,59.0,0.05,0,56212
8,2018-01-01 08:00:00,-0.9,0.0,39.0,0.01,0,-5.2,0.0,82.0,0.0,0,0.44999999999999996,0.0,43.0,0.03,0,-5.0,0.0,55.0,0.0,0,-2.6,0.1,61.0,0.0,0,-0.8,0.1,65.0,0.05,0,55816
9,2018-01-01 09:00:00,-0.1,0.0,36.0,0.39,0,-4.2,0.0,80.0,0.18,0,1.7,0.0,39.0,0.46,0,-4.3,0.0,39.0,0.15,0,-1.6,0.1,60.0,0.14,2,0.3,0.1,62.0,0.39,0,54976
10,2018-01-01 10:00:00,0.9,0.0,35.0,0.96,0,-1.3,0.0,69.0,0.58,0,2.7,0.0,35.0,1.04,0,-1.6,0.0,32.0,0.53,0,-0.6,0.1,38.0,0.46,7,2.7,0.1,52.0,0.99,0,53163
11,2018-01-01 11:00:00,2.3,0.0,26.0,1.46,0,1.9,0.0,51.0,0.93,0,4.5,0.0,29.0,1.4500000000000002,0,0.1,0.0,27.0,0.84,1,0.2,0.1,31.0,0.63,7,3.9,0.1,43.0,1.54,0,52983
